Time;F;
   4.830; 1.514;
   4.840; 1.512;
   4.850; 1.514;
   4.860; 1.511;
   4.870; 1.514;
   4.880; 1.512;
   4.890; 1.514;
   4.900; 1.512;
   4.910; 1.512;
   4.920; 1.512;
   4.930; 1.512;
   4.940; 1.512;
   4.950; 1.514;
   4.960; 1.512;
   4.970; 1.514;
   4.980; 1.514;
   4.990; 1.514;
   5.000; 1.512;
   5.010; 1.514;
   5.020; 1.511;
   5.030; 1.514;
   5.040; 1.512;
   5.050; 1.514;
   5.060; 1.514;
   5.070; 1.515;
   5.080; 1.514;
   5.090; 1.514;
   5.100; 1.514;
   5.110; 1.514;
   5.120; 1.514;
   5.130; 1.515;
   5.140; 1.514;
   5.150; 1.514;
   5.160; 1.514;
   5.170; 1.515;
   5.180; 1.514;
   5.190; 1.514;
   5.200; 1.514;
   5.210; 1.514;
   5.220; 1.514;
   5.230; 1.514;
   5.240; 1.514;
   5.250; 1.514;
   5.260; 1.514;
   5.270; 1.514;
   5.280; 1.514;
   5.290; 1.514;
   5.300; 1.514;
   5.310; 1.514;
   5.320; 1.514;
   5.330; 1.514;
   5.340; 1.514;
   5.350; 1.514;
   5.360; 1.514;
   5.370; 1.514;
   5.380; 1.514;
   5.390; 1.514;
   5.400; 1.514;
   5.410; 1.515;
   5.420; 1.514;
   5.430; 1.514;
   5.440; 1.514;
   5.450; 1.515;
   5.460; 1.514;
   5.470; 1.514;
   5.480; 1.514;
   5.490; 1.515;
   5.500; 1.514;
   5.510; 1.514;
   5.520; 1.514;
   5.530; 1.514;
   5.540; 1.514;
   5.550; 1.514;
   5.560; 1.514;
   5.570; 1.515;
   5.580; 1.514;
   5.590; 1.515;
   5.600; 1.514;
   5.610; 1.514;
   5.620; 1.514;
   5.630; 1.514;
   5.640; 1.514;
   5.650; 1.514;
   5.660; 1.512;
   5.670; 1.512;
   5.680; 1.514;
   5.690; 1.514;
   5.700; 1.512;
   5.710; 1.512;
   5.720; 1.512;
   5.730; 1.512;
   5.740; 1.512;
   5.750; 1.514;
   5.760; 1.512;
   5.770; 1.514;
   5.780; 1.512;
   5.790; 1.514;
   5.800; 1.512;
   5.810; 1.514;
   5.820; 1.512;
   5.830; 1.514;
   5.840; 1.512;
   5.850; 1.514;
   5.860; 1.511;
   5.870; 1.514;
   5.880; 1.512;
   5.890; 1.512;
   5.900; 1.512;
   5.910; 1.512;
   5.920; 1.512;
   5.930; 1.515;
   5.940; 1.512;
   5.950; 1.512;
   5.960; 1.512;
   5.970; 1.514;
   5.980; 1.511;
   5.990; 1.514;
   6.000; 1.512;
   6.010; 1.512;
   6.020; 1.512;
   6.030; 1.514;
   6.040; 1.514;
   6.050; 1.514;
   6.060; 1.512;
   6.070; 1.514;
   6.080; 1.514;
   6.090; 1.514;
   6.100; 1.512;
   6.110; 1.514;
   6.120; 1.514;
   6.130; 1.514;
   6.140; 1.512;
   6.150; 1.514;
   6.160; 1.514;
   6.170; 1.514;
   6.180; 1.514;
   6.190; 1.514;
   6.200; 1.514;
   6.210; 1.514;
   6.220; 1.514;
   6.230; 1.515;
   6.240; 1.514;
   6.250; 1.515;
   6.260; 1.514;
   6.270; 1.515;
   6.280; 1.515;
   6.290; 1.514;
   6.300; 1.512;
   6.310; 1.514;
   6.320; 1.515;
   6.330; 1.515;
   6.340; 1.514;
   6.350; 1.515;
   6.360; 1.514;
   6.370; 1.515;
   6.380; 1.514;
   6.390; 1.514;
   6.400; 1.514;
   6.410; 1.514;
   6.420; 1.514;
   6.430; 1.514;
   6.440; 1.514;
   6.450; 1.514;
   6.460; 1.514;
   6.470; 1.514;
   6.480; 1.514;
   6.490; 1.514;
   6.500; 1.514;
   6.510; 1.514;
   6.520; 1.514;
   6.530; 1.514;
   6.540; 1.514;
   6.550; 1.515;
   6.560; 1.512;
   6.570; 1.514;
   6.580; 1.512;
   6.590; 1.514;
   6.600; 1.514;
   6.610; 1.512;
   6.620; 1.512;
   6.630; 1.512;
   6.640; 1.512;
   6.650; 1.514;
   6.660; 1.514;
   6.670; 1.514;
   6.680; 1.514;
   6.690; 1.514;
   6.700; 1.514;
   6.710; 1.514;
   6.720; 1.514;
   6.730; 1.514;
   6.740; 1.514;
   6.750; 1.515;
   6.760; 1.514;
   6.770; 1.514;
   6.780; 1.514;
   6.790; 1.515;
   6.800; 1.514;
   6.810; 1.515;
   6.820; 1.514;
   6.830; 1.512;
   6.840; 1.514;
   6.850; 1.515;
   6.860; 1.514;
   6.870; 1.514;
   6.880; 1.514;
   6.890; 1.514;
   6.900; 1.514;
   6.910; 1.514;
   6.920; 1.514;
   6.930; 1.515;
   6.940; 1.514;
   6.950; 1.514;
   6.960; 1.514;
   6.970; 1.514;
   6.980; 1.514;
   6.990; 1.515;
   7.000; 1.514;
   7.010; 1.514;
   7.020; 1.514;
   7.030; 1.514;
   7.040; 1.514;
   7.050; 1.515;
   7.060; 1.514;
   7.070; 1.514;
   7.080; 1.515;
   7.090; 1.515;
   7.100; 1.515;
   7.110; 1.515;
   7.120; 1.514;
   7.130; 1.515;
   7.140; 1.515;
   7.150; 1.515;
   7.160; 1.514;
   7.170; 1.514;
   7.180; 1.514;
   7.190; 1.515;
   7.200; 1.514;
   7.210; 1.515;
   7.220; 1.514;
   7.230; 1.515;
   7.240; 1.515;
   7.250; 1.514;
   7.260; 1.514;
   7.270; 1.515;
   7.280; 1.514;
   7.290; 1.515;
   7.300; 1.514;
   7.310; 1.514;
   7.320; 1.514;
   7.330; 1.515;
   7.340; 1.515;
   7.350; 1.515;
   7.360; 1.514;
   7.370; 1.515;
   7.380; 1.514;
   7.390; 1.515;
   7.400; 1.515;
   7.410; 1.515;
   7.420; 1.514;
   7.430; 1.515;
   7.440; 1.514;
   7.450; 1.515;
   7.460; 1.514;
   7.470; 1.515;
   7.480; 1.514;
   7.490; 1.515;
   7.500; 1.514;
   7.510; 1.515;
   7.520; 1.515;
   7.530; 1.515;
   7.540; 1.514;
   7.550; 1.515;
   7.560; 1.515;
   7.570; 1.515;
   7.580; 1.515;
   7.590; 1.515;
   7.600; 1.516;
   7.610; 1.516;
   7.620; 1.514;
   7.630; 1.516;
   7.640; 1.514;
   7.650; 1.515;
   7.660; 1.514;
   7.670; 1.515;
   7.680; 1.515;
   7.690; 1.515;
   7.700; 1.515;
   7.710; 1.516;
   7.720; 1.515;
   7.730; 1.516;
   7.740; 1.515;
   7.750; 1.516;
   7.760; 1.516;
   7.770; 1.515;
   7.780; 1.515;
   7.790; 1.516;
   7.800; 1.515;
   7.810; 1.516;
   7.820; 1.515;
   7.830; 1.516;
   7.840; 1.515;
   7.850; 1.516;
   7.860; 1.515;
   7.870; 1.516;
   7.880; 1.515;
   7.890; 1.516;
   7.900; 1.515;
   7.910; 1.516;
   7.920; 1.515;
   7.930; 1.516;
   7.940; 1.516;
   7.950; 1.516;
   7.960; 1.515;
   7.970; 1.515;
   7.980; 1.514;
   7.990; 1.516;
   8.000; 1.515;
   8.010; 1.515;
   8.020; 1.515;
   8.030; 1.515;
   8.040; 1.515;
   8.050; 1.515;
   8.060; 1.514;
   8.070; 1.515;
   8.080; 1.515;
   8.090; 1.515;
   8.100; 1.515;
   8.110; 1.515;
   8.120; 1.514;
   8.130; 1.515;
   8.140; 1.515;
   8.150; 1.515;
   8.160; 1.514;
   8.170; 1.514;
   8.180; 1.515;
   8.190; 1.515;
   8.200; 1.514;
   8.210; 1.514;
   8.220; 1.514;
   8.230; 1.515;
   8.240; 1.515;
   8.250; 1.515;
   8.260; 1.514;
   8.270; 1.515;
   8.280; 1.515;
   8.290; 1.516;
   8.300; 1.515;
   8.310; 1.515;
   8.320; 1.515;
   8.330; 1.516;
   8.340; 1.514;
   8.350; 1.516;
   8.360; 1.514;
   8.370; 1.515;
   8.380; 1.515;
   8.390; 1.515;
   8.400; 1.514;
   8.410; 1.515;
   8.420; 1.515;
   8.430; 1.515;
   8.440; 1.514;
   8.450; 1.515;
   8.460; 1.514;
   8.470; 1.515;
   8.480; 1.515;
   8.490; 1.515;
   8.500; 1.514;
   8.510; 1.514;
   8.520; 1.515;
   8.530; 1.515;
   8.540; 1.514;
   8.550; 1.515;
   8.560; 1.514;
   8.570; 1.514;
   8.580; 1.514;
   8.590; 1.514;
   8.600; 1.514;
   8.610; 1.515;
   8.620; 1.514;
   8.630; 1.514;
   8.640; 1.515;
   8.650; 1.515;
   8.660; 1.514;
   8.670; 1.514;
   8.680; 1.514;
   8.690; 1.514;
   8.700; 1.514;
   8.710; 1.515;
   8.720; 1.515;
   8.730; 1.515;
   8.740; 1.514;
   8.750; 1.515;
   8.760; 1.514;
   8.770; 1.515;
   8.780; 1.514;
   8.790; 1.514;
   8.800; 1.516;
   8.810; 1.516;
   8.820; 1.514;
   8.830; 1.515;
   8.840; 1.515;
   8.850; 1.516;
   8.860; 1.515;
   8.870; 1.515;
   8.880; 1.515;
   8.890; 1.515;
   8.900; 1.515;
   8.910; 1.515;
   8.920; 1.515;
   8.930; 1.515;
   8.940; 1.515;
   8.950; 1.516;
   8.960; 1.515;
   8.970; 1.515;
   8.980; 1.514;
   8.990; 1.515;
   9.000; 1.515;
   9.010; 1.514;
   9.020; 1.512;
   9.030; 1.515;
   9.040; 1.514;
   9.050; 1.515;
   9.060; 1.514;
   9.070; 1.514;
   9.080; 1.514;
   9.090; 1.515;
   9.100; 1.514;
   9.110; 1.515;
   9.120; 1.514;
   9.130; 1.514;
   9.140; 1.514;
   9.150; 1.514;
   9.160; 1.514;
   9.170; 1.515;
   9.180; 1.514;
   9.190; 1.514;
   9.200; 1.514;
   9.210; 1.514;
   9.220; 1.514;
   9.230; 1.514;
   9.240; 1.514;
   9.250; 1.515;
   9.260; 1.512;
   9.270; 1.514;
   9.280; 1.512;
   9.290; 1.514;
   9.300; 1.512;
   9.310; 1.514;
   9.320; 1.512;
   9.330; 1.514;
   9.340; 1.514;
   9.350; 1.514;
   9.360; 1.512;
   9.370; 1.514;
   9.380; 1.512;
   9.390; 1.514;
   9.400; 1.512;
   9.410; 1.514;
   9.420; 1.512;
   9.430; 1.514;
   9.440; 1.514;
   9.450; 1.514;
   9.460; 1.512;
   9.470; 1.512;
   9.480; 1.512;
   9.490; 1.514;
   9.500; 1.512;
   9.510; 1.512;
   9.520; 1.512;
   9.530; 1.512;
   9.540; 1.512;
   9.550; 1.512;
   9.560; 1.512;
   9.570; 1.514;
   9.580; 1.512;
   9.590; 1.514;
   9.600; 1.512;
   9.610; 1.512;
   9.620; 1.512;
   9.630; 1.512;
   9.640; 1.512;
   9.650; 1.514;
   9.660; 1.512;
   9.670; 1.514;
   9.680; 1.511;
   9.690; 1.512;
   9.700; 1.511;
   9.710; 1.514;
   9.720; 1.512;
   9.730; 1.514;
   9.740; 1.512;
   9.750; 1.514;
   9.760; 1.514;
   9.770; 1.512;
   9.780; 1.511;
   9.790; 1.514;
   9.800; 1.512;
   9.810; 1.514;
   9.820; 1.514;
   9.830; 1.514;
   9.840; 1.512;
   9.850; 1.512;
   9.860; 1.512;
   9.870; 1.514;
   9.880; 1.514;
   9.890; 1.515;
   9.900; 1.514;
   9.910; 1.514;
   9.920; 1.512;
   9.930; 1.514;
   9.940; 1.512;
   9.950; 1.514;
   9.960; 1.514;
   9.970; 1.514;
   9.980; 1.514;
   9.990; 1.514;
  10.000; 1.514;
  10.010; 1.514;
  10.020; 1.514;
  10.030; 1.514;
  10.040; 1.514;
  10.050; 1.514;
  10.060; 1.514;
  10.070; 1.514;
  10.080; 1.514;
  10.090; 1.514;
  10.100; 1.514;
  10.110; 1.515;
  10.120; 1.514;
  10.130; 1.514;
  10.140; 1.514;
  10.150; 1.515;
  10.160; 1.512;
  10.170; 1.514;
  10.180; 1.512;
  10.190; 1.514;
  10.200; 1.514;
  10.210; 1.514;
  10.220; 1.514;
  10.230; 1.514;
  10.240; 1.514;
  10.250; 1.514;
  10.260; 1.512;
  10.270; 1.514;
  10.280; 1.514;
  10.290; 1.515;
  10.300; 1.514;
  10.310; 1.514;
  10.320; 1.512;
  10.330; 1.514;
  10.340; 1.514;
  10.350; 1.514;
  10.360; 1.514;
  10.370; 1.514;
  10.380; 1.514;
  10.390; 1.514;
  10.400; 1.514;
  10.410; 1.514;
  10.420; 1.514;
  10.430; 1.515;
  10.440; 1.515;
  10.450; 1.515;
  10.460; 1.514;
  10.470; 1.514;
  10.480; 1.514;
  10.490; 1.515;
  10.500; 1.514;
  10.510; 1.514;
  10.520; 1.514;
  10.530; 1.514;
  10.540; 1.514;
  10.550; 1.514;
  10.560; 1.512;
  10.570; 1.514;
  10.580; 1.514;
  10.590; 1.515;
  10.600; 1.514;
  10.610; 1.514;
  10.620; 1.512;
  10.630; 1.514;
  10.640; 1.514;
  10.650; 1.514;
  10.660; 1.512;
  10.670; 1.512;
  10.680; 1.512;
  10.690; 1.512;
