Time;F;
   4.020; 3.868;
   4.030; 3.851;
   4.040; 3.799;
   4.050; 3.831;
   4.060; 3.847;
   4.070; 3.853;
   4.080; 3.859;
   4.090; 3.862;
   4.100; 3.810;
   4.110; 3.662;
   4.120; 3.554;
   4.130; 3.478;
   4.140; 3.449;
   4.150; 3.437;
   4.160; 3.425;
   4.170; 3.413;
   4.180; 3.402;
   4.190; 3.390;
   4.200; 3.380;
   4.210; 3.370;
   4.220; 3.360;
   4.230; 3.351;
   4.240; 3.344;
   4.250; 3.338;
   4.260; 3.330;
   4.270; 3.324;
   4.280; 3.318;
   4.290; 3.312;
   4.300; 3.308;
   4.310; 3.301;
   4.320; 3.295;
   4.330; 3.291;
   4.340; 3.287;
   4.350; 3.283;
   4.360; 3.279;
   4.370; 3.275;
   4.380; 3.272;
   4.390; 3.267;
   4.400; 3.265;
   4.410; 3.261;
   4.420; 3.256;
   4.430; 3.255;
   4.440; 3.254;
   4.450; 3.252;
   4.460; 3.251;
   4.470; 3.249;
   4.480; 3.246;
   4.490; 3.246;
   4.500; 3.245;
   4.510; 3.243;
   4.520; 3.242;
   4.530; 3.241;
   4.540; 3.240;
   4.550; 3.240;
   4.560; 3.238;
   4.570; 3.237;
   4.580; 3.234;
   4.590; 3.235;
   4.600; 3.235;
   4.610; 3.232;
   4.620; 3.232;
   4.630; 3.232;
   4.640; 3.232;
   4.650; 3.231;
   4.660; 3.231;
   4.670; 3.231;
   4.680; 3.231;
   4.690; 3.230;
   4.700; 3.229;
   4.710; 3.228;
   4.720; 3.227;
   4.730; 3.227;
   4.740; 3.226;
   4.750; 3.225;
   4.760; 3.225;
   4.770; 3.224;
   4.780; 3.225;
   4.790; 3.223;
   4.800; 3.222;
   4.810; 3.222;
   4.820; 3.223;
   4.830; 3.221;
   4.840; 3.222;
   4.850; 3.222;
   4.860; 3.223;
   4.870; 3.221;
   4.880; 3.223;
   4.890; 3.222;
   4.900; 3.221;
   4.910; 3.222;
   4.920; 3.223;
